Fri Oct 11 14:23:22 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Fri Oct 11 14:23:22 JST 2019: Connect with /100.80.194.128, ID: 10
Fri Oct 11 14:23:22 JST 2019: Register name as: 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:23:27 JST 2019: Connect with /100.80.194.129, ID: 16
Fri Oct 11 14:23:27 JST 2019: Register name as: 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:29:08 JST 2019: Connect with /100.80.194.226, ID: 19
Fri Oct 11 14:29:08 JST 2019: Register name as: 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:29:08 JST 2019: Connect with /100.80.194.226, ID: 22
Fri Oct 11 14:29:08 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:22)
Fri Oct 11 14:29:34 JST 2019: Connect with /100.80.194.226, ID: 25
Fri Oct 11 14:29:34 JST 2019: Register name as: 'pp' (/100.80.194.226, ID:25)
Fri Oct 11 14:31:35 JST 2019: send msg: [4doc] to 'sh' (/100.80.194.226, ID:22)
Fri Oct 11 14:31:35 JST 2019: send msg: [4doc] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:31:35 JST 2019: send msg: [wait:5000] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:31:35 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:31:35 JST 2019: send msg: [addAction:say:女の子に何かプレゼントするなら、やっぱり4ドシーだね] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:31:35 JST 2019: send msg: [addAction:requestMessage:am;143135561] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:31:41 JST 2019: send msg: [143135561] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:31:41 JST 2019: send msg: [addAction:motionWith:pose:800:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:31:41 JST 2019: send msg: [addAction:say:みんな喜んでくれるよね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:31:41 JST 2019: send msg: [addAction:requestMessage:am;14314190] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:31:43 JST 2019: send msg: [14314190] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:31:43 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:31:43 JST 2019: send msg: [addAction:say:商品がたくさんあって迷っちゃうなあ] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:31:43 JST 2019: send msg: [addAction:requestMessage:am;143143989] to 'sota' (/100.80.194.128, ID:10)
Fri Oct 11 14:31:47 JST 2019: send msg: [143143989] to 'am' (/100.80.194.226, ID:19)
Fri Oct 11 14:31:47 JST 2019: send msg: [addAction:say:たくさんあるなあ、どんな方法で探そうかな?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:31:47 JST 2019: send msg: [addAction:requestMessage:am;143147204] to 'sota2' (/100.80.194.129, ID:16)
Fri Oct 11 14:31:51 JST 2019: send msg: [143147204] to 'am' (/100.80.194.226, ID:19)
