Tue Jan 07 14:21:15 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Tue Jan 07 14:21:15 JST 2020: Connect with /100.80.194.202, ID: 10
Tue Jan 07 14:21:15 JST 2020: Register name as: 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 14:21:40 JST 2020: Connect with /100.80.194.203, ID: 16
Tue Jan 07 14:21:40 JST 2020: Register name as: 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:25:50 JST 2020: Connect with /127.0.0.1, ID: 19
Tue Jan 07 14:25:50 JST 2020: Register name as: 'am' (/127.0.0.1, ID:19)
Tue Jan 07 14:25:50 JST 2020: Connect with /127.0.0.1, ID: 22
Tue Jan 07 14:25:50 JST 2020: Register name as: 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 14:26:03 JST 2020: Connect with /127.0.0.1, ID: 25
Tue Jan 07 14:26:03 JST 2020: Register name as: 'op' (/127.0.0.1, ID:25)
Tue Jan 07 14:26:12 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:22)
Tue Jan 07 14:26:12 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 14:26:12 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:500] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 14:26:12 JST 2020: send msg: [addAction:requestMessage:am;142612762] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 14:26:13 JST 2020: send msg: [142612762] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 14:26:13 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:26:13 JST 2020: send msg: [addAction:requestMessage:am;142613583] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:26:14 JST 2020: send msg: [142613583] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 14:26:14 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 14:26:14 JST 2020: send msg: [addAction:requestMessage:am;142614601] to 'sota' (/100.80.194.202, ID:10)
Tue Jan 07 14:26:20 JST 2020: send msg: [142614601] to 'am' (/127.0.0.1, ID:19)
Tue Jan 07 14:26:20 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:26:20 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:16)
Tue Jan 07 14:26:20 JST 2020: send msg: [addAction:requestMessage:am;142620962] to 'sota2' (/100.80.194.203, ID:16)
