Wed Jan 15 16:08:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Wed Jan 15 16:08:08 JST 2020: Connect with /127.0.0.1, ID: 10
Wed Jan 15 16:08:20 JST 2020: Connect with /127.0.0.1, ID: 19
Wed Jan 15 16:08:20 JST 2020: Register name as: 'op' (/127.0.0.1, ID:19)
Wed Jan 15 16:08:25 JST 2020: Connect with /100.80.194.203, ID: 22
Wed Jan 15 16:08:25 JST 2020: Register name as: 'sota2' (/100.80.194.203, ID:22)
Wed Jan 15 16:08:28 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 16:08:28 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:08:28 JST 2020: Could not find name: 'sota'
Wed Jan 15 16:08:28 JST 2020: Could not find name: 'sota'
Wed Jan 15 16:08:42 JST 2020: Connect with /100.80.194.202, ID: 29
Wed Jan 15 16:08:42 JST 2020: Register name as: 'sota' (/100.80.194.202, ID:29)
Wed Jan 15 16:09:21 JST 2020: disconnect with: 'sota' (/100.80.194.202,29)
Wed Jan 15 16:09:31 JST 2020: disconnect with: 'sota2' (/100.80.194.203,22)
Wed Jan 15 16:09:31 JST 2020: Connect with /100.80.194.202, ID: 34
Wed Jan 15 16:09:31 JST 2020: Register name as: 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:09:37 JST 2020: disconnect with: 'op' (/127.0.0.1,19)
Wed Jan 15 16:09:42 JST 2020: Connect with /100.80.194.203, ID: 38
Wed Jan 15 16:09:42 JST 2020: Register name as: 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:09:50 JST 2020: Connect with /127.0.0.1, ID: 41
Wed Jan 15 16:09:50 JST 2020: Register name as: 'op' (/127.0.0.1, ID:41)
Wed Jan 15 16:09:59 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 16:09:59 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:09:59 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:09:59 JST 2020: send msg: [addAction:requestMessage:am;16959711] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:09:59 JST 2020: send msg: [16959711] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:00 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:00 JST 2020: send msg: [addAction:requestMessage:am;1610073] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:00 JST 2020: send msg: [1610073] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:00 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:00 JST 2020: send msg: [addAction:requestMessage:am;16100549] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:01 JST 2020: send msg: [16100549] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:01 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:01 JST 2020: send msg: [addAction:requestMessage:am;16101466] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:02 JST 2020: send msg: [16101466] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:02 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:02 JST 2020: send msg: [addAction:requestMessage:am;16102405] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:08 JST 2020: send msg: [16102405] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:08 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:08 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:08 JST 2020: send msg: [addAction:requestMessage:am;16108856] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:16 JST 2020: send msg: [16108856] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:16 JST 2020: send msg: [addAction:say:どんなイヤリングを選ぶかで男性側のセンスがでるからね] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:16 JST 2020: send msg: [addAction:requestMessage:am;161016348] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:17 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 16:10:17 JST 2020: send msg: [target] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 16:10:17 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:17 JST 2020: send msg: [target] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:17 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:17 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:17 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:17 JST 2020: send msg: [addAction:say:これ、すごくよさそうだね、なんといってもシルバーの色合いが最高だね] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:17 JST 2020: send msg: [addAction:requestMessage:am;161017451] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:24 JST 2020: disconnect with: 'op' (/127.0.0.1,41)
Wed Jan 15 16:10:26 JST 2020: send msg: [161017451] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:26 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:26 JST 2020: send msg: [addAction:say:うん、じょうひんだし、女性らしさのある色合いだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:26 JST 2020: send msg: [addAction:requestMessage:am;161026393] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:31 JST 2020: send msg: [161026393] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:31 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:31 JST 2020: send msg: [addAction:requestMessage:am;161031201] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:31 JST 2020: send msg: [addAction:say:シルバー素材はコーティングされていて、輝きを維持しやすいらしいよ] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:36 JST 2020: send msg: [161031201] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:36 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:36 JST 2020: send msg: [addAction:say:さらに、長いから華やかで存在感があるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:36 JST 2020: send msg: [addAction:requestMessage:am;161036637] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 16:10:41 JST 2020: send msg: [161036637] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:10:41 JST 2020: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:41 JST 2020: send msg: [addAction:say:女性が喜んでくれること間違いなしだね] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:41 JST 2020: send msg: [addAction:requestMessage:am;161041511] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 16:10:45 JST 2020: send msg: [161041511] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 16:11:16 JST 2020: Connect with /127.0.0.1, ID: 94
Wed Jan 15 16:11:16 JST 2020: Register name as: 'op' (/127.0.0.1, ID:94)
Wed Jan 15 16:11:24 JST 2020: disconnect with: 'op' (/127.0.0.1,94)
Wed Jan 15 16:20:40 JST 2020: Connect with /127.0.0.1, ID: 98
Wed Jan 15 16:20:40 JST 2020: Register name as: 'op' (/127.0.0.1, ID:98)
Wed Jan 15 16:42:20 JST 2020: disconnect with: 'op' (/127.0.0.1,98)
Wed Jan 15 16:42:40 JST 2020: Connect with /127.0.0.1, ID: 102
Wed Jan 15 16:42:40 JST 2020: Register name as: 'op' (/127.0.0.1, ID:102)
Wed Jan 15 16:46:31 JST 2020: Connect with /127.0.0.1, ID: 105
Wed Jan 15 16:46:31 JST 2020: Register name as: 'op' (/127.0.0.1, ID:105)
