Thu Jan 16 08:42:43 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Thu Jan 16 08:42:43 JST 2020: Connect with /127.0.0.1, ID: 10
Thu Jan 16 08:42:44 JST 2020: Connect with /127.0.0.1, ID: 16
Thu Jan 16 08:42:44 JST 2020: Register name as: 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 08:43:44 JST 2020: Connect with /100.80.194.202, ID: 19
Thu Jan 16 08:43:44 JST 2020: Register name as: 'sota' (/100.80.194.202, ID:19)
Thu Jan 16 08:45:34 JST 2020: Connect with /100.80.194.203, ID: 22
Thu Jan 16 08:45:34 JST 2020: Register name as: 'sota2' (/100.80.194.203, ID:22)
Thu Jan 16 08:47:52 JST 2020: Connect with /127.0.0.1, ID: 25
Thu Jan 16 08:47:52 JST 2020: Register name as: 'op' (/127.0.0.1, ID:25)
Thu Jan 16 08:48:12 JST 2020: disconnect with: 'op' (/127.0.0.1,25)
Thu Jan 16 08:49:25 JST 2020: Connect with /127.0.0.1, ID: 29
Thu Jan 16 08:49:25 JST 2020: Register name as: 'op' (/127.0.0.1, ID:29)
Thu Jan 16 08:50:33 JST 2020: disconnect with: 'op' (/127.0.0.1,29)
Thu Jan 16 09:10:06 JST 2020: Connect with /100.80.194.202, ID: 33
Thu Jan 16 09:10:06 JST 2020: Register name as: 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 09:13:05 JST 2020: Connect with /100.80.194.203, ID: 36
Thu Jan 16 09:13:05 JST 2020: Register name as: 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:13:51 JST 2020: Connect with /127.0.0.1, ID: 39
Thu Jan 16 09:13:51 JST 2020: Register name as: 'op' (/127.0.0.1, ID:39)
Thu Jan 16 09:14:00 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 09:14:00 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 09:14:00 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.202, ID:19)
Thu Jan 16 09:14:00 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 09:14:00 JST 2020: send msg: [addAction:requestMessage:am;9140428] to 'sota' (/100.80.194.202, ID:19)
Thu Jan 16 09:14:00 JST 2020: send msg: [addAction:requestMessage:am;9140428] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 09:14:00 JST 2020: disconnect with: 'sota' (/100.80.194.202,19)
Thu Jan 16 09:14:00 JST 2020: send msg: [9140428] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 09:14:00 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.203, ID:22)
Thu Jan 16 09:14:00 JST 2020: send msg: [addAction:requestMessage:am;9140906] to 'sota2' (/100.80.194.203, ID:22)
Thu Jan 16 09:14:00 JST 2020: send msg: [addAction:requestMessage:am;9140906] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:14:00 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:14:01 JST 2020: disconnect with: 'sota2' (/100.80.194.203,22)
Thu Jan 16 09:14:01 JST 2020: send msg: [9140906] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 09:14:01 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 09:14:01 JST 2020: send msg: [addAction:requestMessage:am;9141326] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 09:14:02 JST 2020: send msg: [9141326] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 09:14:02 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:14:02 JST 2020: send msg: [addAction:requestMessage:am;9142338] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:14:03 JST 2020: send msg: [9142338] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 09:14:03 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 09:14:03 JST 2020: send msg: [addAction:requestMessage:am;9143367] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 09:14:08 JST 2020: disconnect with: 'op' (/127.0.0.1,39)
Thu Jan 16 09:14:09 JST 2020: send msg: [9143367] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 09:14:09 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:14:09 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:14:09 JST 2020: send msg: [addAction:requestMessage:am;9149901] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:14:17 JST 2020: send msg: [9149901] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 09:14:17 JST 2020: send msg: [addAction:say:どんなイヤリングを選ぶかで男性側のセンスがでるからね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 09:14:17 JST 2020: send msg: [addAction:requestMessage:am;91417512] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 09:14:21 JST 2020: send msg: [91417512] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 09:14:22 JST 2020: send msg: [addAction:say:分からないなりに真剣に考えてみようかな:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:14:22 JST 2020: send msg: [addAction:requestMessage:am;9142292] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 09:14:26 JST 2020: send msg: [9142292] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 09:42:26 JST 2020: Connect with /127.0.0.1, ID: 76
Thu Jan 16 09:42:26 JST 2020: Register name as: 'op' (/127.0.0.1, ID:76)
Thu Jan 16 09:51:04 JST 2020: disconnect with: 'op' (/127.0.0.1,76)
Thu Jan 16 09:52:32 JST 2020: Connect with /127.0.0.1, ID: 80
Thu Jan 16 09:52:32 JST 2020: Register name as: 'op' (/127.0.0.1, ID:80)
Thu Jan 16 09:54:32 JST 2020: Connect with /127.0.0.1, ID: 83
Thu Jan 16 09:54:32 JST 2020: Register name as: 'op' (/127.0.0.1, ID:83)
Thu Jan 16 09:58:40 JST 2020: disconnect with: 'op' (/127.0.0.1,83)
Thu Jan 16 10:08:07 JST 2020: disconnect with: 'op' (/127.0.0.1,80)
Thu Jan 16 10:08:20 JST 2020: Connect with /127.0.0.1, ID: 88
Thu Jan 16 10:08:20 JST 2020: Register name as: 'op' (/127.0.0.1, ID:88)
Thu Jan 16 10:08:33 JST 2020: disconnect with: 'op' (/127.0.0.1,88)
Thu Jan 16 10:40:46 JST 2020: Connect with /127.0.0.1, ID: 92
Thu Jan 16 10:40:46 JST 2020: Register name as: 'op' (/127.0.0.1, ID:92)
