Fri Jan 31 21:42:14 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Fri Jan 31 21:42:14 JST 2020: Connect with /100.80.194.162, ID: 10
Fri Jan 31 21:42:14 JST 2020: Register name as: 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:42:18 JST 2020: Connect with /127.0.0.1, ID: 16
Fri Jan 31 21:42:18 JST 2020: Register name as: 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:42:18 JST 2020: Connect with /127.0.0.1, ID: 19
Fri Jan 31 21:42:18 JST 2020: Register name as: 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:43:05 JST 2020: Connect with /100.80.194.161, ID: 22
Fri Jan 31 21:43:05 JST 2020: Register name as: 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:43:53 JST 2020: Connect with /127.0.0.1, ID: 25
Fri Jan 31 21:43:53 JST 2020: Register name as: 'op' (/127.0.0.1, ID:25)
Fri Jan 31 21:44:03 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:44:04 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:44:04 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:44:04 JST 2020: send msg: [addAction:requestMessage:am;2144452] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:44:04 JST 2020: send msg: [2144452] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:44:04 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:44:04 JST 2020: send msg: [addAction:requestMessage:am;21444515] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:44:04 JST 2020: send msg: [21444515] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:44:04 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:44:04 JST 2020: send msg: [addAction:requestMessage:am;21444920] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:44:05 JST 2020: send msg: [21444920] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:44:05 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:44:05 JST 2020: send msg: [addAction:requestMessage:am;21445837] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:44:06 JST 2020: send msg: [21445837] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:44:06 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:44:06 JST 2020: send msg: [addAction:requestMessage:am;21446802] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:44:13 JST 2020: send msg: [21446802] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:44:13 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:44:13 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:44:13 JST 2020: send msg: [addAction:requestMessage:am;214413339] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:44:20 JST 2020: send msg: [214413339] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:44:20 JST 2020: send msg: [addAction:say:どんなイヤリングを選ぶかで男性側のセンスがでるからね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:44:20 JST 2020: send msg: [addAction:requestMessage:am;214420971] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:44:25 JST 2020: send msg: [214420971] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:44:25 JST 2020: send msg: [addAction:say:分からないなりに真剣に考えてみようかな:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:44:25 JST 2020: send msg: [addAction:requestMessage:am;214425598] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:44:29 JST 2020: send msg: [214425598] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:45:17 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:45:17 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:45:17 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:45:17 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:45:17 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:17 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:45:18 JST 2020: send msg: [addAction:say:上品なイヤリングだね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:45:18 JST 2020: send msg: [addAction:requestMessage:am;21451815] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:45:20 JST 2020: send msg: [21451815] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:45:20 JST 2020: send msg: [addAction:say:そうだね、デザインが洗練されてるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:20 JST 2020: send msg: [addAction:requestMessage:am;214520257] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:24 JST 2020: send msg: [214520257] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:45:24 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:45:24 JST 2020: send msg: [addAction:requestMessage:am;214524121] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:45:24 JST 2020: send msg: [addAction:say:うん、うん、凛とした輝きがあるね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:45:27 JST 2020: send msg: [214524121] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:45:27 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:27 JST 2020: send msg: [addAction:say:うん、そうだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:27 JST 2020: send msg: [addAction:say:素材とか値段も考えて、もっとたくさん見て決めたいよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:27 JST 2020: send msg: [addAction:requestMessage:am;214527579] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:34 JST 2020: send msg: [214527579] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:45:34 JST 2020: send msg: [addAction:say:長いイヤリングは動きが華やかで人気らしいよ] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:45:34 JST 2020: send msg: [addAction:wait:500] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:45:34 JST 2020: send msg: [addAction:requestMessage:am;214534446] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:45:39 JST 2020: send msg: [214534446] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:45:39 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:39 JST 2020: send msg: [addAction:say:へー、長いイヤリングかあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:39 JST 2020: send msg: [addAction:requestMessage:am;21453979] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:45:41 JST 2020: send msg: [21453979] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:10 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:46:10 JST 2020: send msg: [ka_shizuku] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:46:10 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:10 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:10 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:10 JST 2020: send msg: [ka_shizuku] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:10 JST 2020: send msg: [addAction:say:4ドシーのブランドコンセプトをモチーフにしてるね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:10 JST 2020: send msg: [addAction:requestMessage:am;214610963] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:14 JST 2020: send msg: [214610963] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:14 JST 2020: send msg: [addAction:say:うん、うん:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:14 JST 2020: send msg: [addAction:say:しずくをモチーフにしたイヤリングだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:14 JST 2020: send msg: [addAction:requestMessage:am;214614723] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:19 JST 2020: send msg: [214614723] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:19 JST 2020: send msg: [addAction:say:水のような透明感と上ひんさがあるね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:19 JST 2020: send msg: [addAction:requestMessage:am;214619615] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:23 JST 2020: send msg: [214619615] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:23 JST 2020: send msg: [addAction:wait:1000] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:23 JST 2020: send msg: [addAction:requestMessage:am;214623123] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:23 JST 2020: send msg: [addAction:say:他にはどんなイヤリングがあるのかなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:46:28 JST 2020: send msg: [214623123] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:46:28 JST 2020: send msg: [addAction:say:シルバーのイヤリングは上品な色合いで女性受けが良さそう] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:28 JST 2020: send msg: [addAction:requestMessage:am;214628361] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:46:33 JST 2020: send msg: [214628361] to 'am' (/127.0.0.1, ID:16)
