Mon Oct 21 10:12:03 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Mon Oct 21 10:12:03 JST 2019: Connect with /127.0.0.1, ID: 10
Mon Oct 21 10:12:03 JST 2019: Register name as: 'op' (/127.0.0.1, ID:10)
Mon Oct 21 10:13:39 JST 2019: disconnect with: 'op' (/127.0.0.1,10)
Mon Oct 21 10:13:42 JST 2019: Connect with /127.0.0.1, ID: 17
Mon Oct 21 10:13:42 JST 2019: Register name as: 'op' (/127.0.0.1, ID:17)
Mon Oct 21 10:17:53 JST 2019: Connect with /100.80.194.226, ID: 20
Mon Oct 21 10:17:53 JST 2019: Register name as: 'am' (/100.80.194.226, ID:20)
Mon Oct 21 10:17:53 JST 2019: Connect with /100.80.194.226, ID: 23
Mon Oct 21 10:17:53 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 10:20:02 JST 2019: Connect with /100.80.194.248, ID: 26
Mon Oct 21 10:20:02 JST 2019: Register name as: 'sota2' (/100.80.194.248, ID:26)
Mon Oct 21 10:20:42 JST 2019: Connect with /100.80.194.247, ID: 29
Mon Oct 21 10:20:42 JST 2019: Register name as: 'sota' (/100.80.194.247, ID:29)
Mon Oct 21 10:21:04 JST 2019: Connect with /127.0.0.1, ID: 32
Mon Oct 21 10:21:04 JST 2019: Register name as: 'op' (/127.0.0.1, ID:32)
Mon Oct 21 10:21:18 JST 2019: send msg: [4doc] to 'sh' (/100.80.194.226, ID:23)
Mon Oct 21 10:21:18 JST 2019: send msg: [4doc] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 10:21:18 JST 2019: send msg: [wait:5000] to 'sota2' (/100.80.194.248, ID:26)
Mon Oct 21 10:21:18 JST 2019: send msg: [addAction:say:女の子に何かプレゼントするなら、やっぱり4ドシーだね] to 'sota' (/100.80.194.247, ID:29)
Mon Oct 21 10:21:18 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:29)
Mon Oct 21 10:21:18 JST 2019: send msg: [addAction:requestMessage:am;102118612] to 'sota' (/100.80.194.247, ID:29)
Mon Oct 21 10:21:24 JST 2019: send msg: [102118612] to 'am' (/100.80.194.226, ID:20)
Mon Oct 21 10:21:24 JST 2019: send msg: [addAction:motionWith:pose:800:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:26)
