Mon Feb 10 19:13:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Mon Feb 10 19:13:08 JST 2020: Register name as: 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:13:08 JST 2020: Connect with /127.0.0.1, ID: 10
Mon Feb 10 19:13:08 JST 2020: Connect with /127.0.0.1, ID: 16
Mon Feb 10 19:13:08 JST 2020: Register name as: 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:15:02 JST 2020: Connect with /100.80.194.252, ID: 19
Mon Feb 10 19:18:39 JST 2020: Connect with /127.0.0.1, ID: 25
Mon Feb 10 19:18:25 JST 2020: Connect with /100.80.194.253, ID: 23
Mon Feb 10 19:16:39 JST 2020: Connect with /100.80.194.252, ID: 21
Mon Feb 10 19:19:30 JST 2020: Register name as: 'sota' (/100.80.194.252, ID:19)
Mon Feb 10 19:19:30 JST 2020: Register name as: 'op' (/127.0.0.1, ID:25)
Mon Feb 10 19:19:30 JST 2020: Register name as: 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:19:30 JST 2020: disconnect with: 'sota' (/100.80.194.252,19)
Mon Feb 10 19:19:30 JST 2020: Register name as: 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:19:30 JST 2020: send msg: [4doc] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:19:30 JST 2020: send msg: [4doc] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:19:30 JST 2020: send msg: [addAction:idleMode:breath] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:19:30 JST 2020: send msg: [addAction:requestMessage:am;191930718] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:19:31 JST 2020: send msg: [191930718] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:19:31 JST 2020: send msg: [addAction:idleMode:breath] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:19:31 JST 2020: send msg: [addAction:requestMessage:am;19193180] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:19:31 JST 2020: send msg: [19193180] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:19:31 JST 2020: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:19:31 JST 2020: send msg: [addAction:requestMessage:am;191931487] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:19:32 JST 2020: send msg: [191931487] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:19:32 JST 2020: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:19:32 JST 2020: send msg: [addAction:requestMessage:am;191932505] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:19:33 JST 2020: send msg: [191932505] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:19:33 JST 2020: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:19:33 JST 2020: send msg: [addAction:requestMessage:am;191933522] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:19:40 JST 2020: send msg: [191933522] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:19:40 JST 2020: send msg: [addAction:say:そうなんだ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:19:40 JST 2020: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:19:40 JST 2020: send msg: [addAction:requestMessage:am;191940281] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:19:47 JST 2020: send msg: [191940281] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:19:47 JST 2020: send msg: [addAction:requestMessage:am;191947916] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:19:47 JST 2020: send msg: [addAction:say:どんなイヤリングを選ぶかで男性側のセンスがでるからね] to 'sota' (/100.80.194.252, ID:21)
Mon Feb 10 19:19:49 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:19:49 JST 2020: send msg: [ok_silver] to 'sh' (/127.0.0.1, ID:16)
Mon Feb 10 19:19:49 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Mon Feb 10 19:19:49 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.253, ID:23)
Mon Feb 10 19:19:49 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.252, ID:21)
