Fri Nov 08 13:55:57 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 13:55:57 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Fri Nov 08 13:55:57 JST 2019: Connect with /100.80.194.226, ID: 16
Fri Nov 08 13:55:57 JST 2019: Connect with /100.80.194.226, ID: 10
Fri Nov 08 13:56:03 JST 2019: Connect with /127.0.0.1, ID: 19
Fri Nov 08 13:56:03 JST 2019: Register name as: 'op' (/127.0.0.1, ID:19)
Fri Nov 08 13:56:12 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 13:56:12 JST 2019: send msg: [long] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 13:56:13 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:56:13 JST 2019: send msg: [long] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:56:13 JST 2019: Could not find name: 'sota'
Fri Nov 08 13:56:13 JST 2019: Could not find name: 'sota2'
Fri Nov 08 13:56:13 JST 2019: Could not find name: 'sota'
Fri Nov 08 13:56:13 JST 2019: Could not find name: 'sota'
Fri Nov 08 13:56:13 JST 2019: Could not find name: 'sota'
Fri Nov 08 13:56:33 JST 2019: disconnect with: 'op' (/127.0.0.1,19)
Fri Nov 08 13:56:56 JST 2019: Connect with /100.80.194.247, ID: 32
Fri Nov 08 13:56:56 JST 2019: Register name as: 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:57:18 JST 2019: Connect with /100.80.194.248, ID: 35
Fri Nov 08 13:57:18 JST 2019: Register name as: 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:58:57 JST 2019: Connect with /127.0.0.1, ID: 38
Fri Nov 08 13:58:57 JST 2019: Register name as: 'op' (/127.0.0.1, ID:38)
Fri Nov 08 13:59:05 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 13:59:05 JST 2019: send msg: [long] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 13:59:05 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:05 JST 2019: send msg: [long] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:06 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:06 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:06 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:06 JST 2019: send msg: [addAction:say:長いイヤリングだね。] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:06 JST 2019: send msg: [addAction:requestMessage:am;135964] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:08 JST 2019: send msg: [135964] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:08 JST 2019: send msg: [addAction:motionWith:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:08 JST 2019: send msg: [addAction:say:シルバーに輝いてる長いイヤリングだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:08 JST 2019: send msg: [addAction:requestMessage:am;13598598] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:13 JST 2019: send msg: [13598598] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:13 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:13 JST 2019: send msg: [addAction:requestMessage:am;13591374] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:13 JST 2019: send msg: [addAction:say:でも女性からすると、イヤリングが長いと、揺れて邪魔みたいだよ。] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:18 JST 2019: send msg: [13591374] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:18 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:18 JST 2019: send msg: [addAction:say:なるほど、長いイヤリングはさけたほうがいいみたいだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:18 JST 2019: send msg: [addAction:requestMessage:am;135918924] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:23 JST 2019: send msg: [135918924] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:28 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 13:59:28 JST 2019: send msg: [long] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 13:59:28 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:28 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:28 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:28 JST 2019: send msg: [long] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:28 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:28 JST 2019: send msg: [addAction:requestMessage:am;135928374] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:28 JST 2019: send msg: [addAction:say:長いイヤリングだね。] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:30 JST 2019: send msg: [135928374] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:30 JST 2019: send msg: [addAction:motionWith:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:30 JST 2019: send msg: [addAction:say:シルバーに輝いてる長いイヤリングだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:30 JST 2019: send msg: [addAction:requestMessage:am;135930259] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:34 JST 2019: send msg: [135930259] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:34 JST 2019: send msg: [addAction:motionWith:pose:-800:-900:0:900:0:0:0:0:700] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:34 JST 2019: send msg: [addAction:requestMessage:am;135934226] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:34 JST 2019: send msg: [addAction:say:でも女性からすると、イヤリングが長いと、揺れて邪魔みたいだよ。] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 13:59:39 JST 2019: send msg: [135934226] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 13:59:39 JST 2019: send msg: [addAction:posture:homePosture] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:39 JST 2019: send msg: [addAction:say:なるほど、長いイヤリングはさけたほうがいいみたいだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:39 JST 2019: send msg: [addAction:requestMessage:am;135939363] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 13:59:44 JST 2019: send msg: [135939363] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:00:28 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 14:00:28 JST 2019: send msg: [nega-long] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 14:00:28 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:00:28 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 14:00:28 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 14:00:28 JST 2019: send msg: [nega-long] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:00:28 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 14:00:28 JST 2019: send msg: [addAction:requestMessage:am;14028847] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 14:00:28 JST 2019: send msg: [addAction:say:僕の友だちが、ちょっと長めなイヤリングを彼女にプレゼントしたんだよ。] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 14:00:34 JST 2019: send msg: [14028847] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:00:34 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 14:00:34 JST 2019: send msg: [addAction:say:うん、うん、ゴージャスだもんね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 14:00:34 JST 2019: send msg: [addAction:requestMessage:am;14034798] to 'sota2' (/100.80.194.248, ID:35)
Fri Nov 08 14:00:37 JST 2019: send msg: [14034798] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:00:38 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:32)
Fri Nov 08 14:00:38 JST 2019: send msg: [addAction:requestMessage:am;140382] to 'sota' (/100.80.194.247, ID:32)
