Sun Dec 15 08:04:23 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Sun Dec 15 08:04:23 JST 2019: Connect with /100.80.194.248, ID: 10
Sun Dec 15 08:04:23 JST 2019: Register name as: 'sota2' (/100.80.194.248, ID:10)
Sun Dec 15 08:04:35 JST 2019: Connect with /100.80.194.226, ID: 16
Sun Dec 15 08:04:35 JST 2019: Register name as: 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:04:35 JST 2019: Connect with /100.80.194.226, ID: 19
Sun Dec 15 08:04:35 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:04:45 JST 2019: disconnect with: 'sota2' (/100.80.194.248,10)
Sun Dec 15 08:04:48 JST 2019: Connect with /100.80.194.247, ID: 23
Sun Dec 15 08:04:48 JST 2019: Register name as: 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:04:53 JST 2019: Connect with /100.80.194.248, ID: 26
Sun Dec 15 08:04:53 JST 2019: Register name as: 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:05:03 JST 2019: Connect with /127.0.0.1, ID: 29
Sun Dec 15 08:05:03 JST 2019: Register name as: 'op' (/127.0.0.1, ID:29)
Sun Dec 15 08:05:11 JST 2019: send msg: [4doc] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:05:11 JST 2019: send msg: [4doc] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:05:11 JST 2019: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:500] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:05:11 JST 2019: send msg: [addAction:requestMessage:am;8511955] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:05:12 JST 2019: send msg: [8511955] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:05:12 JST 2019: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:05:12 JST 2019: send msg: [addAction:requestMessage:am;8512674] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:05:13 JST 2019: send msg: [8512674] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:05:13 JST 2019: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:05:13 JST 2019: send msg: [addAction:requestMessage:am;8513589] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:05:19 JST 2019: send msg: [8513589] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:05:19 JST 2019: send msg: [addAction:say:女性が普段身につけるものだからこそ、丁寧に選びたいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:05:19 JST 2019: send msg: [addAction:requestMessage:am;8519794] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:05:25 JST 2019: send msg: [8519794] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:05:25 JST 2019: send msg: [addAction:say:どんなイヤリングを選ぶかで男性側のセンスがでるからね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:05:25 JST 2019: send msg: [addAction:requestMessage:am;8525847] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:05:30 JST 2019: send msg: [8525847] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:05:30 JST 2019: send msg: [addAction:say:分からないなりに真剣に考えてみようかな:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:05:30 JST 2019: send msg: [addAction:requestMessage:am;8530424] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:05:34 JST 2019: send msg: [8530424] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:07:32 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:07:32 JST 2019: send msg: [kanren] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:07:32 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:07:32 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:32 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:07:32 JST 2019: send msg: [kanren] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:07:32 JST 2019: send msg: [addAction:say:キュートなイヤリングだね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:32 JST 2019: send msg: [addAction:requestMessage:am;8732257] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:34 JST 2019: send msg: [8732257] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:07:34 JST 2019: send msg: [addAction:say:そうだね、華やかさもあるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:07:34 JST 2019: send msg: [addAction:requestMessage:am;8734445] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:07:37 JST 2019: send msg: [8734445] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:07:37 JST 2019: send msg: [addAction:say:ファッションを選ばずに合わせられそうだね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:37 JST 2019: send msg: [addAction:requestMessage:am;8737700] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:40 JST 2019: send msg: [8737700] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:07:40 JST 2019: send msg: [addAction:say:もう少し、他のも見てみたいなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:07:40 JST 2019: send msg: [addAction:requestMessage:am;8740759] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:07:44 JST 2019: send msg: [8740759] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:07:44 JST 2019: send msg: [addAction:wait:5000] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:44 JST 2019: send msg: [addAction:requestMessage:am;8744370] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:44 JST 2019: send msg: [addAction:say:ページの下の方に関連商品があるから、そこも見てみると良さそう] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:54 JST 2019: send msg: [shizuku] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:07:54 JST 2019: send msg: [shizuku] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:07:54 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:54 JST 2019: send msg: [addAction:say:4ドシーのブランドコンセプトって何か知ってる?] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:54 JST 2019: send msg: [addAction:requestMessage:am;8754879] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:07:54 JST 2019: send msg: [8744370] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:07:58 JST 2019: send msg: [8754879] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:08:13 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:08:13 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:08:13 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:08:13 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:08:13 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:08:54 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:08:54 JST 2019: send msg: [34] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:08:54 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:08:54 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:08:54 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:08:54 JST 2019: send msg: [34] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:08:54 JST 2019: send msg: [addAction:say:僕が一番気に入っているイヤリングあるんだけど、言ってもいい?] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:08:54 JST 2019: send msg: [addAction:requestMessage:am;8854261] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:08:58 JST 2019: send msg: [8854261] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:08:58 JST 2019: send msg: [addAction:say:何番、何番?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:08:58 JST 2019: send msg: [addAction:requestMessage:am;8858788] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:09:01 JST 2019: send msg: [8858788] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:09:01 JST 2019: send msg: [addAction:say:34番、圧倒的なシンプルさが特徴だね、さらにキュートさも兼ね備えてる] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:09:01 JST 2019: send msg: [addAction:requestMessage:am;891280] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:09:07 JST 2019: send msg: [891280] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:09:07 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:09:07 JST 2019: send msg: [addAction:say:確かに女性らしさがあって素敵だね、しかも着け心地もよさそう:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:09:07 JST 2019: send msg: [addAction:requestMessage:am;897757] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:09:14 JST 2019: send msg: [897757] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:09:14 JST 2019: send msg: [addAction:say:34番、どんな場面でもつけやすくて、喜んでくれること間違いないね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:09:14 JST 2019: send msg: [addAction:requestMessage:am;8914827] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:09:20 JST 2019: send msg: [8914827] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:09:30 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:09:30 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:09:30 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:09:30 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:09:30 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:44 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:10:44 JST 2019: send msg: [34_2] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:10:44 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:44 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:44 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:44 JST 2019: send msg: [34_2] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:44 JST 2019: send msg: [addAction:say:僕が一番気に入っているイヤリングあるんだけど、言ってもいい?] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:44 JST 2019: send msg: [addAction:requestMessage:am;81044837] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:49 JST 2019: send msg: [81044837] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:49 JST 2019: send msg: [addAction:say:何番、何番?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:49 JST 2019: send msg: [addAction:requestMessage:am;81049267] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:51 JST 2019: send msg: [81049267] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:51 JST 2019: send msg: [addAction:say:34番、シンプルな素材のピンクゴールドが一番いいね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:51 JST 2019: send msg: [addAction:requestMessage:am;81051505] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:10:56 JST 2019: send msg: [81051505] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:10:56 JST 2019: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:56 JST 2019: send msg: [addAction:say:ピンクゴールドの優しい輝きが女性らしさを引き立ててくれそう:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:10:56 JST 2019: send msg: [addAction:requestMessage:am;81056897] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:11:03 JST 2019: send msg: [81056897] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:11:03 JST 2019: send msg: [addAction:say:34番、喜んでくれること間違いないね] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:11:03 JST 2019: send msg: [addAction:requestMessage:am;8113712] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:11:07 JST 2019: send msg: [8113712] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:11:17 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:11:17 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:11:17 JST 2019: send msg: [clear] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:11:17 JST 2019: send msg: [clearBehavior] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:11:17 JST 2019: send msg: [clearBehavior] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:11:21 JST 2019: disconnect with: 'op' (/127.0.0.1,29)
Sun Dec 15 08:13:01 JST 2019: Connect with /127.0.0.1, ID: 140
Sun Dec 15 08:13:01 JST 2019: Register name as: 'op' (/127.0.0.1, ID:140)
Sun Dec 15 08:13:04 JST 2019: disconnect with: 'op' (/127.0.0.1,140)
Sun Dec 15 08:13:17 JST 2019: Connect with /127.0.0.1, ID: 144
Sun Dec 15 08:13:17 JST 2019: Register name as: 'op' (/127.0.0.1, ID:144)
Sun Dec 15 08:13:26 JST 2019: send msg: [4doc] to 'sh' (/100.80.194.226, ID:19)
Sun Dec 15 08:13:26 JST 2019: send msg: [4doc] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:26 JST 2019: send msg: [addAction:motion:pose:-1200:-900:0:900:0:-400:0:0:500] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:26 JST 2019: send msg: [addAction:requestMessage:am;81326856] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:27 JST 2019: send msg: [81326856] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:27 JST 2019: send msg: [addAction:motion:pose:700:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:27 JST 2019: send msg: [addAction:requestMessage:am;81327568] to 'sota2' (/100.80.194.248, ID:26)
Sun Dec 15 08:13:28 JST 2019: send msg: [81327568] to 'am' (/100.80.194.226, ID:16)
Sun Dec 15 08:13:28 JST 2019: send msg: [addAction:say:4ドシーのイヤリングは20代から30代の若い世代に人気なんだって] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:28 JST 2019: send msg: [addAction:requestMessage:am;81328484] to 'sota' (/100.80.194.247, ID:23)
Sun Dec 15 08:13:32 JST 2019: send msg: [clear] to 'sh' (/100.80.194.226, ID:19)
