Tue Dec 17 23:15:46 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Tue Dec 17 23:15:46 JST 2019: Connect with /100.80.194.248, ID: 10
Tue Dec 17 23:15:46 JST 2019: Register name as: 'sota2' (/100.80.194.248, ID:10)
Tue Dec 17 23:15:46 JST 2019: Register name as: 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:15:47 JST 2019: Connect with /100.80.194.226, ID: 19
Tue Dec 17 23:15:47 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:15:51 JST 2019: Connect with /100.80.194.226, ID: 22
Tue Dec 17 23:15:51 JST 2019: Register name as: 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:15:51 JST 2019: Connect with /100.80.194.226, ID: 25
Tue Dec 17 23:15:51 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:16:44 JST 2019: Connect with /100.80.194.226, ID: 28
Tue Dec 17 23:16:44 JST 2019: Register name as: 'pp' (/100.80.194.226, ID:28)
Tue Dec 17 23:16:45 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:16:45 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:16:45 JST 2019: send msg: [ok_long2] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:16:45 JST 2019: send msg: [ok_long2] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:16:45 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:16:45 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:16:45 JST 2019: send msg: [addAction:requestMessage:am;231645701] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:16:45 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:16:45 JST 2019: send msg: [addAction:requestMessage:am;231645754] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:16:45 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:16:49 JST 2019: send msg: [231645701] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:16:52 JST 2019: send msg: [231645754] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:18:38 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:18:38 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:18:38 JST 2019: send msg: [ok_long2] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:18:38 JST 2019: send msg: [ok_long2] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:18:38 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:18:38 JST 2019: send msg: [addAction:requestMessage:am;231838473] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:18:38 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:18:38 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:18:38 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:18:38 JST 2019: send msg: [addAction:requestMessage:am;231838484] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:18:42 JST 2019: send msg: [231838473] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:18:45 JST 2019: send msg: [231838484] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:18:58 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:19)
Tue Dec 17 23:18:58 JST 2019: send msg: [ok_long2] to 'sh' (/100.80.194.226, ID:25)
Tue Dec 17 23:18:58 JST 2019: send msg: [ok_long2] to 'am' (/100.80.194.226, ID:22)
Tue Dec 17 23:18:58 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:12)
Tue Dec 17 23:18:58 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:12)
