商品No,長い,短い,ハート,しずく,パール(白い),ルビー&サファイア(赤い),青い,ゴールド,シルバー,,"推定ポイント　0 ,1.0 の段階評価"
151944651002 ,1,0,0,1,0,0,0,1,0,,
151646153219 ,0,0,0,0,0,0,0,0,1,,
151646153220 ,0,1,1,0,0,0,0,0,1,,
151646153218 ,0,0,0,0,0,0,1,0,0,,
151736153107 ,0,1,1,0,0,0,0,0,1,,
151836153008 ,0,1,0,0,1,0,0,0,0,,
151836153213 ,0,1,0,0,0,0,0,0,1,,
151836153214 ,0,1,0,0,0,0,0.5,0,1,,
151836153119 ,0,1,1,0,0,0.5,0,1,0,,
151836153121 ,0,1,0,1,0,0,0,1,0,,
151834151006 ,0,1,0,0,0,0,0,0,1,,
151834151017 ,0,0,1,0,0,0,0,1,0,,
151834151020 ,0,0,0,0,0,0,0.5,0,1,,
1.51926E+11,0,0,0,0,0,0.5,0,1,0,,
151926253106 ,0,0,0,0,0,0,0,1,0.5,,
151926153101 ,1,0,0,0,1,0,0,1,0,,
151926153201 ,0,1,0,0,1,0,0,0,0,,
1.11816E+11,0,1,0,0,1,0,0,0.5,0,,
111826153015 ,0,0,1,0,0,0,0,0,0.5,,
151736153210 ,0,1,0,0,0,0,0,0,1,,
1.51736E+11,0,1,0,0,0,0,0,1,0.5,,
151736153108 ,0,1,0,0,0,0,0,1,0,,
151736153112 ,0,1,0,1,0,0,0,1,0,,
1.51834E+11,1,0,0,0,0,0,0,1,0,,
151834151039 ,1,0,0,0,0,0,0,1,0,,
1.51834E+11,1,0,0,1,0,0,0,0,1,,
151834151036 ,1,0,0,0,0,0,0,0,1,,
151834150004 ,1,0,0,0,0,0,0,1,0,,
151834151013 ,0,1,0,0,0,0,0,0.5,0.5,,
151834151012 ,0,1,0,0,0,0,0,0,1,,
1.51834E+11,0,1,0,0,0,0,0,1,0.5,,
151834151003 ,0,1,0,0,0,0,0,1,0.5,,
151834151001 ,0,1,0,0,0,0,0,1,0.5,,
111846152002 ,1,0,0,0,0,0,0,1,0,,
111846153006 ,1,0,0,1,0.5,0,0,1,0,,
1.11846E+11,0,0,0,0,0,0,0,1,0.5,,
111846153001 ,1,0,0,0,1,0,0,1,0,,
111746153215 ,1,0,0,0,0,0,0,0,1,,
111746153213 ,0,1,0,0,0,0,0.5,0,1,,
111746153106 ,0,1,0,0,1,0,0,1,0,,
111746153107 ,1,0,0,0,0,0,0,1,0.5,,
151646153217 ,0,1,0,0,0,0,0.5,0,1,,
151646153216 ,0,1,0,0,0,0,0,0,1,,
151736153205 ,0,1,1,0,0,0,0,0,1,,
151736153004 ,0,1,0,0,0,0,0,0.5,1,,
151646153135 ,0,0,1,0,0,0,0,0.5,1,,
151646153134 ,1,0,0,0,0,0,0,1,0.5,,
151646153133 ,0,0,0,0,0,0.5,0.5,1,0,,
151646153132 ,0,0,1,0,0,1,0,1,0.5,,
151646153131 ,0,0,0,0,0,1,0,1,0,,
151646153129 ,0,0,0,0,0,0,0,1,0.5,,
111746153010 ,1,0,0,0,0,0,0,1,0,,
111746153212 ,0,0,0,0,0,0,0,0,1,,
111746153105 ,0,0,0,0,0,0,0,1,0.5,,
111616153114 ,1,0,0,0,0,0,0,1,0.5,,
,長い,短い,ハート,しずく,パール(白い),ルビー&サファイア(赤い),青い,ゴールド,シルバー,,"推定ポイント　0 ,1.0 の段階評価"
